OBJECTID,DATE_CAPTURED,SCIENTIFIC_NAME,CAPTURE_METHOD,TOTAL_LENGTH,HEAD_LENGTH,SEX,SNOUT_VENT_LENGTH,TAIL_COMPLETE,REGION,ZONE_CODE
4033,2021-04-21 0:00,C. porosus,Trap,155,21,M,75,Y,Darwin,3
4037,2021-04-20 0:00,C. porosus,Trap,305,43,M,144,Y,Darwin,4
3940,2021-04-18 0:00,C. porosus,Trap,382,53,M,192,Y,Darwin,4
3939,2021-04-17 0:00,C. porosus,Trap,171,25,F,79,Y,Darwin,1
3989,2021-04-16 0:00,C. porosus,Trap,172,25,F,82,Y,Darwin,6
3990,2021-04-16 0:00,C. porosus,Trap,316,43,M,149,Y,Darwin,6
3903,2021-04-14 0:00,C. porosus,Trap,204,29,M,93,Y,Darwin,3
3904,2021-04-14 0:00,C. porosus,Trap,158,24,M,67,Y,Darwin,4
3905,2021-04-14 0:00,C. porosus,Trap,241,35,M,108,Y,Darwin,4
3902,2021-04-13 0:00,C. johnstoni,Trap,229,39,M,119,N,Katherine,2
3859,2021-04-09 0:00,C. porosus,Trap,288,41,M,135,Y,Darwin,7
3877,2021-04-07 0:00,C. porosus,Trap,171,25,M,77,Y,Darwin,1
3878,2021-04-07 0:00,C. porosus,Trap,191,29,M,90,Y,Darwin,4
3879,2021-04-07 0:00,C. porosus,Trap,131,20,M,65,Y,Darwin,4
3852,2021-04-06 0:00,C. porosus,Trap,255,35,F,123,Y,Darwin,3
3851,2021-04-05 0:00,C. porosus,Trap,265,41,F,130,Y,Darwin,1
3974,2021-03-31 0:00,C. porosus,Trap,333,46,M,167,Y,Darwin,4
4027,2021-03-31 0:00,C. porosus,Trap,246,34,M,112,Y,Darwin,3
4074,2021-03-29 0:00,C. porosus,Trap,203,29,F,104,Y,Darwin,1
4159,2021-03-29 0:00,C. porosus,Trap,253,41,M,123,Y,Nhulunbuy,9
3783,2021-03-28 0:00,C. porosus,Trap,230,32,F,150,Y,Nhulunbuy,9
3811,2021-03-26 0:00,C. porosus,Net,179,26,M,84,Y,Darwin,6
3808,2021-03-25 0:00,C. porosus,Trap,247,36,M,115,Y,Darwin,6
3809,2021-03-25 0:00,C. porosus,Trap,258,37,M,124,Y,Darwin,6
3810,2021-03-25 0:00,C. porosus,Trap,271,36,F,132,Y,Darwin,6
3984,2021-03-24 0:00,C. porosus,Trap,237,33,M,116,Y,Darwin,4
3985,2021-03-24 0:00,C. porosus,Trap,147,21,F,67,Y,Darwin,4
3986,2021-03-24 0:00,C. porosus,Trap,316,44,M,150,Y,Darwin,3
3987,2021-03-24 0:00,C. porosus,Trap,225,30,F,98,Y,Darwin,3
3988,2021-03-24 0:00,C. porosus,Trap,194,28,M,91,Y,Darwin,3
3944,2021-03-23 0:00,C. porosus,Trap,132,20,U,59,Y,Darwin,1
4158,2021-03-22 0:00,C. porosus,Trap,251,42,F,123,Y,Nhulunbuy,9
3945,2021-03-20 0:00,C. porosus,Trap,152,23,M,76,Y,Darwin,1
4123,2021-03-19 0:00,C. porosus,Trap,172,26,M,80,Y,Darwin,6
4124,2021-03-19 0:00,C. porosus,Trap,292,44,M,138,U,Darwin,6
4125,2021-03-19 0:00,C. porosus,Trap,270,37,M,130,Y,Darwin,6
4126,2021-03-19 0:00,C. porosus,Trap,335,46,M,159,Y,Darwin,6
4120,2021-03-18 0:00,C. porosus,Trap,389,54,M,187,Y,Darwin,3
4121,2021-03-18 0:00,C. porosus,Trap,224,32,M,102,Y,Darwin,3
4122,2021-03-18 0:00,C. porosus,Trap,197,29,F,97,Y,Darwin,1
3784,2021-03-16 0:00,C. porosus,Trap,185,35,F,82,Y,Nhulunbuy,9
4088,2021-03-15 0:00,C. porosus,Trap,263,39,F,128,Y,Darwin,1
3971,2021-03-12 0:00,C. porosus,Trap,142,23,M,72,N,Darwin,6
4118,2021-03-12 0:00,C. porosus,Trap,131,18,M,61,Y,Darwin,6
4119,2021-03-12 0:00,C. porosus,Trap,284,41,F,138,Y,Darwin,6
4093,2021-03-11 0:00,C. porosus,Trap,267,38,M,129,Y,Darwin,3
4266,2021-03-11 0:00,C. porosus,Trap,158,22,M,75,Y,Darwin,1
4153,2021-03-10 0:00,C. porosus,Trap,271,38,M,129,Y,Darwin,4
4154,2021-03-10 0:00,C. porosus,Trap,214,32,M,108,N,Darwin,4
4219,2021-03-10 0:00,C. porosus,Trap,290,40,M,134,Y,Darwin,4
4149,2021-03-06 0:00,C. porosus,Trap,283,41,M,133,Y,Darwin,4
4150,2021-03-06 0:00,C. porosus,Trap,186,34,F,116,N,Darwin,1
3848,2021-03-05 0:00,C. porosus,Trap,242,,F,,Y,Nhulunbuy,9
4151,2021-03-05 0:00,C. porosus,Trap,201,31,M,92,Y,Darwin,6
4152,2021-03-05 0:00,C. porosus,Trap,199,30,M,92,Y,Darwin,6
3766,2021-03-04 0:00,C. porosus,Trap,140,21,M,63,Y,Darwin,4
3767,2021-03-04 0:00,C. porosus,Hand,82,12,U,35,Y,Darwin,1
3768,2021-03-04 0:00,C. porosus,Trap,197,30,F,89,Y,Darwin,4
3485,2021-03-03 0:00,C. porosus,Trap,450,65,M,228,N,Darwin,4
3486,2021-03-03 0:00,C. porosus,Trap,196,30,M,87,Y,Darwin,3
3682,2021-03-02 0:00,C. porosus,Trap,274,39,M,130,Y,Darwin,1
3670,2021-03-01 0:00,C. porosus,Trap,196,21,F,91,Y,Darwin,4
3669,2021-02-27 0:00,C. porosus,Trap,375,50,M,160,N,Darwin,4
3665,2021-02-26 0:00,C. porosus,Trap,323,46,M,156,Y,Darwin,6
3666,2021-02-26 0:00,C. porosus,Trap,300,42,M,142,Y,Darwin,6
3667,2021-02-26 0:00,C. porosus,Trap,168,25,F,78,Y,Darwin,4
3668,2021-02-26 0:00,C. porosus,Trap,311,43,M,148,Y,Darwin,7
3564,2021-02-25 0:00,C. porosus,Trap,177,25,M,81,Y,Darwin,3
3648,2021-02-25 0:00,C. porosus,Trap,201,29,F,96,Y,Darwin,3
3451,2021-02-24 0:00,C. porosus,Trap,358,48,M,169,Y,Other/Unknown,1
3907,2021-02-22 0:00,C. porosus,Trap,213,31,M,105,Y,Nhulunbuy,9
3685,2021-02-20 0:00,C. porosus,Trap,162,23,F,76,Y,Darwin,1
3686,2021-02-20 0:00,C. porosus,Trap,352,49,M,174,Y,Darwin,1
3503,2021-02-18 0:00,C. porosus,Trap,181,27,F,82,Y,Darwin,1
3500,2021-02-17 0:00,C. porosus,Trap,248,35,F,119,Y,Darwin,4
3501,2021-02-17 0:00,C. porosus,Trap,183,26,F,84,Y,Darwin,6
3502,2021-02-17 0:00,C. porosus,Trap,424,58,M,198,Y,Darwin,5
3908,2021-02-17 0:00,C. porosus,Trap,235,36,M,122,Y,Nhulunbuy,9
3494,2021-02-12 0:00,C. porosus,Trap,255,38,M,110,Y,Darwin,1
3657,2021-02-12 0:00,C. porosus,Trap,330,45,M,155,Y,Darwin,6
3873,2021-02-12 0:00,C. johnstoni,Trap,247,40,M,125,Y,Darwin,1
3655,2021-02-11 0:00,C. porosus,Trap,219,32,M,106,Y,Darwin,4
3656,2021-02-11 0:00,C. porosus,Hand,40,7,U,19,Y,Darwin,1
3641,2021-02-08 0:00,C. porosus,Trap,333,44,M,154,Y,Darwin,1
3642,2021-02-08 0:00,C. porosus,Harpoon,191,27,M,89,Y,Darwin,4
3639,2021-02-04 0:00,C. porosus,Trap,147,23,M,68,Y,Darwin,3
3640,2021-02-04 0:00,C. porosus,Trap,153,23,M,71,Y,Darwin,1
3562,2021-02-03 0:00,C. porosus,Trap,160,38,M,87,Y,Darwin,4
3563,2021-02-03 0:00,C. porosus,Trap,153,25,F,78,Y,Darwin,4
3560,2021-02-02 0:00,C. porosus,Trap,239,34,M,116,Y,Darwin,6
3561,2021-02-02 0:00,C. porosus,Trap,171,26,M,76,Y,Darwin,1
3517,2021-01-30 0:00,C. porosus,Trap,237,37,F,122,Y,Darwin,1
3445,2021-01-29 0:00,C. porosus,Trap,160,24,M,77,Y,Darwin,4
3450,2021-01-25 0:00,C. johnstoni,Trap,212,34,M,112,Y,Katherine,2
3482,2021-01-25 0:00,C. porosus,Trap,223,30,F,105,Y,Darwin,1
3623,2021-01-21 0:00,C. johnstoni,Trap,177,30,M,90,Y,Katherine,2
3757,2021-01-21 0:00,C. porosus,Trap,201,30,F,97,Y,Darwin,3
3758,2021-01-21 0:00,C. porosus,Trap,160,22,F,74,Y,Darwin,5
3507,2021-01-20 0:00,C. porosus,Trap,233,32,M,110,Y,Darwin,4
